-39.979977153151886	-21.081065968631236
-34.16808231150411	-20.055436120056797
-31.774949141413842	-19.371682887673842
-30.40744447279083	-17.32042319052495
-31.091196807102335	-15.952916725759025
-34.509958478659854	-15.952916725759025
-40.32185332030764	-16.63666995814198
-41.689357988930645	-14.243533644801616
-42.714986490397905	-12.534150563844207
-44.76624349333242	-10.482890866695314
-47.15937666342268	-8.77350778573792
-47.15937666342268	-8.77350778573792
-48.52688133204569	-6.722248088589026
