-38.270596317373126	-37.83302016201383
-42.37311032324215	-37.49114354582235
-45.79187199479967	-39.200526626779755
-47.15937666342268	-40.909909707737164
-45.79187199479967	-43.98679925346049
-44.424367326176665	-46.721812182992345
-42.37311032324215	-48.08931864775827
-37.24496781590587	-50.48245496109864
-34.16808231150411	-51.1662081934816
-30.065568305635082	-52.87559127443901
-22.544292628208538	-55.26872758777938
-16.390521619404993	-55.26872758777938
-11.262379112068714	-55.26872758777938
-6.134236604732436	-55.26872758777938
