-13.807586741634708	-7.409787620149217
-17.581172914385718	-9.086973103808447
-20.096897029553062	-12.860640442041742
-20.51618438208095	-17.053604151189845
-19.67760967702516	-25.020235198571243
-18.000460266913606	-30.471088020463768
-15.904023504274164	-35.92194084235631
-13.38829938910682	-40.53420092241922
-7.937563806244256	-43.049979147908076
-5.002552338549037	-47.24294285705618
2.5446200069529823	-52.2744993080339
7.156780884759769	-56.88675938809681
7.576068237287657	-58.56394487175606
